Year,Month,SKU,Category,Units,Gross Sales
2019,5,5960736,Baby,503,4521.97
2018,12,5980722,Baby,643,8969.85
2019,1,5980722,Baby,624,8704.8
2019,2,5980722,Baby,643,8969.85
2019,3,5980722,Baby,662,9234.9
2019,4,5980722,Baby,675,9416.25
2019,5,5980722,Baby,689,9611.55
2018,12,4189798,Baby,699,6116.25
2019,1,4189798,Baby,685,5993.75
2019,2,4189798,Baby,699,6116.25
2019,3,4189798,Baby,678,5932.5
2019,4,4189798,Baby,685,5993.75
2019,5,4189798,Baby,726,6352.5
2018,12,9946163,Baby,1037,20740
2019,1,9946163,Baby,1037,20740
2019,2,9946163,Baby,1016,20320
2019,3,9946163,Baby,1057,21140
2019,4,9946163,Baby,1078,21560
2019,5,9946163,Baby,1143,22860
2018,12,4147722,Baby,893,18708.35
2019,1,4147722,Baby,893,18708.35
2019,2,4147722,Baby,902,18896.9
2019,3,4147722,Baby,920,19274
2019,4,4147722,Baby,911,19085.45
2019,5,4147722,Baby,947,19839.65
2018,12,8372765,Baby,188,3946.12
2019,1,8372765,Baby,194,4072.06
2019,2,8372765,Baby,192,4030.08
2019,3,8372765,Baby,186,3904.14
2019,4,8372765,Baby,184,3862.16
2019,5,8372765,Baby,177,3715.23
2018,12,6010275,Baby,9,170.55
2019,1,6010275,Baby,9,170.55
2019,2,6010275,Baby,9,170.55
2019,3,6010275,Baby,9,170.55
2019,4,6010275,Baby,9,170.55
2019,5,6010275,Baby,10,189.5
2018,12,4115838,Baby,176,2110.24
2019,1,4115838,Baby,172,2062.28
2019,2,4115838,Baby,179,2146.21
2019,3,4115838,Baby,174,2086.26
2019,4,4115838,Baby,177,2122.23
2019,5,4115838,Baby,195,2338.05
2018,12,8272524,Baby,763,6065.85
2019,1,8272524,Baby,778,6185.1
2019,2,8272524,Baby,755,6002.25
2019,3,8272524,Baby,785,6240.75
2019,4,8272524,Baby,824,6550.8
2019,5,8272524,Baby,882,7011.9
2018,12,8218751,Baby,687,6870
2019,1,8218751,Baby,673,6730
2019,2,8218751,Baby,673,6730
2019,3,8218751,Baby,680,6800
2019,4,8218751,Baby,660,6600
2019,5,8218751,Baby,647,6470
2018,12,6266473,Baby,610,8235
2019,1,6266473,Baby,604,8154
2019,2,6266473,Baby,628,8478
2019,3,6266473,Baby,647,8734.5
2019,4,6266473,Baby,660,8910
2019,5,6266473,Baby,634,8559
2018,12,6276165,Baby,843,5892.57
2019,1,6276165,Baby,851,5948.49
2019,2,6276165,Baby,825,5766.75
2019,3,6276165,Baby,858,5997.42
2019,4,6276165,Baby,892,6235.08
2019,5,6276165,Baby,963,6731.37
2018,12,3931236,Baby,393,6284.07
2019,1,3931236,Baby,397,6348.03
2019,2,3931236,Baby,401,6411.99
2019,3,3931236,Baby,393,6284.07
2019,4,3931236,Baby,397,6348.03
2019,5,3931236,Baby,433,6923.67
2018,12,2533775,Baby,832,10400
2019,1,2533775,Baby,840,10500
2019,2,2533775,Baby,857,10712.5
2019,3,2533775,Baby,891,11137.5
2019,4,2533775,Baby,900,11250
2019,5,2533775,Baby,855,10687.5
2018,12,3866983,Baby,753,3727.35
2019,1,3866983,Baby,791,3915.45
2019,2,3866983,Baby,791,3915.45
2019,3,3866983,Baby,815,4034.25
2019,4,3866983,Baby,839,4153.05
2019,5,3866983,Baby,805,3984.75
2018,12,6558220,Baby,876,11344.2
2019,1,6558220,Baby,894,11577.3
2019,2,6558220,Baby,930,12043.5
2019,3,6558220,Baby,977,12652.15
2019,4,6558220,Baby,1026,13286.7
2019,5,6558220,Baby,1057,13688.15
2018,12,3775303,Baby,842,1641.9
2019,1,3775303,Baby,850,1657.5
2019,2,3775303,Baby,859,1675.05
2019,3,3775303,Baby,893,1741.35
2019,4,3775303,Baby,866,1688.7
2019,5,3775303,Baby,935,1823.25
2018,12,6594747,Baby,276,549.24
2019,1,6594747,Baby,276,549.24
2019,2,6594747,Baby,279,555.21
2019,3,6594747,Baby,285,567.15
2019,4,6594747,Baby,276,549.24
2019,5,6594747,Baby,273,543.27
2018,12,6613061,Baby,97,92.15
2019,1,6613061,Baby,99,94.05
2019,2,6613061,Baby,101,95.95
2019,3,6613061,Baby,99,94.05
2019,4,6613061,Baby,97,92.15
2019,5,6613061,Baby,104,98.8
2018,12,3722512,Baby,141,415.95
2019,1,3722512,Baby,138,407.1
2019,2,3722512,Baby,141,415.95
2019,3,3722512,Baby,148,436.6
2019,4,3722512,Baby,152,448.4
2019,5,3722512,Baby,160,472
2018,12,6793336,Baby,394,6895
2019,1,6793336,Baby,406,7105
2019,2,6793336,Baby,410,7175
2019,3,6793336,Baby,398,6965
2019,4,6793336,Baby,402,7035
2019,5,6793336,Baby,434,7595
2018,12,6841800,Baby,100,899
2019,1,6841800,Baby,97,872.03
2019,2,6841800,Baby,97,872.03
2019,3,6841800,Baby,102,916.98
2019,4,6841800,Baby,104,934.96
2019,5,6841800,Baby,110,988.9
2018,12,6847032,Baby,808,1607.92
2019,1,6847032,Baby,848,1687.52
2019,2,6847032,Baby,848,1687.52
2019,3,6847032,Baby,823,1637.77
2019,4,6847032,Baby,831,1653.69
2019,5,6847032,Baby,848,1687.52
2018,12,6897645,Baby,834,6630.3
2019,1,6897645,Baby,826,6566.7
2019,2,6897645,Baby,867,6892.65
2019,3,6897645,Baby,902,7170.9
2019,4,6897645,Baby,929,7385.55
2019,5,6897645,Baby,966,7679.7
2018,12,7962054,Baby,615,1845
2019,1,7962054,Baby,646,1938
2019,2,7962054,Baby,646,1938
2019,3,7962054,Baby,659,1977
2019,4,7962054,Baby,639,1917
2019,5,7962054,Baby,690,2070
2018,12,2702099,Baby,289,1719.55
2019,1,2702099,Baby,289,1719.55
2019,2,2702099,Baby,298,1773.1
2019,3,2702099,Baby,298,1773.1
2019,4,2702099,Baby,313,1862.35
2019,5,2702099,Baby,304,1808.8
2018,12,7935793,Baby,510,8664.9
2019,1,7935793,Baby,536,9106.64
2019,2,7935793,Baby,531,9021.69
2019,3,7935793,Baby,542,9208.58
2019,4,7935793,Baby,531,9021.69
2019,5,7935793,Baby,584,9922.16
2018,12,7933385,Baby,110,874.5
2019,1,7933385,Baby,116,922.2
2019,2,7933385,Baby,118,938.1
2019,3,7933385,Baby,117,930.15
2019,4,7933385,Baby,123,977.85
2019,5,7933385,Baby,125,993.75
2018,12,2786231,Baby,201,402
2019,1,2786231,Baby,199,398
2019,2,2786231,Baby,201,402
2019,3,2786231,Baby,207,414
2019,4,2786231,Baby,207,414
2019,5,2786231,Baby,226,452
2018,12,2795111,Baby,672,12062.4
2019,1,2795111,Baby,652,11703.4
2019,2,2795111,Baby,659,11829.05
2019,3,2795111,Baby,659,11829.05
2019,4,2795111,Baby,652,11703.4
2019,5,2795111,Baby,659,11829.05
2018,12,6910087,Baby,979,5384.5
2019,1,6910087,Baby,989,5439.5
2019,2,6910087,Baby,1009,5549.5
2019,3,6910087,Baby,1009,5549.5
2019,4,6910087,Baby,1029,5659.5
2019,5,6910087,Baby,1039,5714.5
2018,12,2818647,Baby,128,254.72
2019,1,2818647,Baby,132,262.68
2019,2,2818647,Baby,136,270.64
2019,3,2818647,Baby,143,284.57
2019,4,2818647,Baby,147,292.53
2019,5,2818647,Baby,154,306.46
2018,12,3591322,Baby,291,509.25
2019,1,3591322,Baby,294,514.5
2019,2,3591322,Baby,309,540.75
2019,3,3591322,Baby,303,530.25
2019,4,3591322,Baby,300,525
2019,5,3591322,Baby,297,519.75
2018,12,6947034,Baby,727,7989.73
2019,1,6947034,Baby,756,8308.44
2019,2,6947034,Baby,748,8220.52
2019,3,6947034,Baby,778,8550.22
2019,4,6947034,Baby,817,8978.83
2019,5,6947034,Baby,776,8528.24
2018,12,3517177,Baby,947,1846.65
2019,1,3517177,Baby,966,1883.7
2019,2,3517177,Baby,966,1883.7
2019,3,3517177,Baby,985,1920.75
2019,4,3517177,Baby,965,1881.75
2019,5,3517177,Baby,936,1825.2
2018,12,2852349,Baby,644,3703
2019,1,2852349,Baby,644,3703
2019,2,2852349,Baby,650,3737.5
2019,3,2852349,Baby,676,3887
2019,4,2852349,Baby,676,3887
2019,5,2852349,Baby,676,3887
2018,12,7013857,Baby,892,16939.08
2019,1,7013857,Baby,910,17280.9
2019,2,7013857,Baby,901,17109.99
2019,3,7013857,Baby,892,16939.08
2019,4,7013857,Baby,937,17793.63
2019,5,7013857,Baby,890,16901.1
2018,12,7024041,Baby,69,620.31
2019,1,7024041,Baby,69,620.31
2019,2,7024041,Baby,67,602.33
2019,3,7024041,Baby,70,629.3
2019,4,7024041,Baby,74,665.26
2019,5,7024041,Baby,72,647.28
2018,12,7709611,Baby,147,1021.65
2019,1,7709611,Baby,154,1070.3
2019,2,7709611,Baby,154,1070.3
2019,3,7709611,Baby,151,1049.45
2019,4,7709611,Baby,153,1063.35
2019,5,7709611,Baby,168,1167.6
2018,12,3416466,Baby,245,2447.55
2019,1,3416466,Baby,247,2467.53
2019,2,3416466,Baby,252,2517.48
2019,3,3416466,Baby,247,2467.53
2019,4,3416466,Baby,254,2537.46
2019,5,3416466,Baby,264,2637.36
2018,12,2933646,Baby,478,1429.22
2019,1,2933646,Baby,464,1387.36
2019,2,2933646,Baby,469,1402.31
2019,3,2933646,Baby,464,1387.36
2019,4,2933646,Baby,459,1372.41
2019,5,2933646,Baby,500,1495
2018,12,3352536,Baby,425,212.5
2019,1,3352536,Baby,421,210.5
2019,2,3352536,Baby,429,214.5
2019,3,3352536,Baby,438,219
2019,4,3352536,Baby,442,221
2019,5,3352536,Baby,460,230
2018,12,3008388,Baby,568,568
2019,1,3008388,Baby,557,557
2019,2,3008388,Baby,551,551
2019,3,3008388,Baby,540,540
2019,4,3008388,Baby,529,529
2019,5,3008388,Baby,582,582
2018,12,7051486,Baby,637,3178.63
2019,1,7051486,Baby,631,3148.69
2019,2,7051486,Baby,612,3053.88
2019,3,7051486,Baby,636,3173.64
2019,4,7051486,Baby,668,3333.32
2019,5,7051486,Baby,635,3168.65
2018,12,7628257,Baby,578,10375.1
2019,1,7628257,Baby,566,10159.7
2019,2,7628257,Baby,555,9962.25
2019,3,7628257,Baby,549,9854.55
2019,4,7628257,Baby,538,9657.1
2019,5,7628257,Baby,576,10339.2
2018,12,3316158,Baby,607,7132.25
2019,1,3316158,Baby,613,7202.75
2019,2,3316158,Baby,607,7132.25
2019,3,3316158,Baby,601,7061.75
2019,4,3316158,Baby,601,7061.75
2019,5,3316158,Baby,661,7766.75
2018,12,7555886,Baby,237,1884.15
2019,1,7555886,Baby,235,1868.25
2019,2,7555886,Baby,244,1939.8
2019,3,7555886,Baby,237,1884.15
2019,4,7555886,Baby,249,1979.55
2019,5,7555886,Baby,242,1923.9
2018,12,7415025,Baby,570,8977.5
2019,1,7415025,Baby,581,9150.75
2019,2,7415025,Baby,569,8961.75
2019,3,7415025,Baby,563,8867.25
2019,4,7415025,Baby,546,8599.5
2019,5,7415025,Baby,557,8772.75
2018,12,7103466,Baby,527,1554.65
2019,1,7103466,Baby,553,1631.35
2019,2,7103466,Baby,575,1696.25
2019,3,7103466,Baby,604,1781.8
2019,4,7103466,Baby,586,1728.7
2019,5,7103466,Baby,592,1746.4
2018,12,7159038,Baby,11,197.45
2019,1,7159038,Baby,11,197.45
2019,2,7159038,Baby,11,197.45
2019,3,7159038,Baby,11,197.45
2019,4,7159038,Baby,11,197.45
2019,5,7159038,Baby,12,215.4
2018,12,7305482,Baby,230,2987.7
2019,1,7305482,Baby,225,2922.75
2019,2,7305482,Baby,234,3039.66
2019,3,7305482,Baby,227,2948.73
2019,4,7305482,Baby,238,3091.62
2019,5,7305482,Baby,228,2961.72
2018,12,7258324,Baby,903,16208.85
2019,1,7258324,Baby,876,15724.2
2019,2,7258324,Baby,920,16514
2019,3,7258324,Baby,892,16011.4
2019,4,7258324,Baby,919,16496.05
2019,5,7258324,Baby,1002,17985.9
2018,12,7159457,Baby,38,493.62
2019,1,7159457,Baby,38,493.62
2019,2,7159457,Baby,39,506.61
2019,3,7159457,Baby,41,532.59
2019,4,7159457,Baby,41,532.59
2019,5,7159457,Baby,39,506.61
2018,12,3168247,Baby,460,1375.4
2019,1,3168247,Baby,465,1390.35
2019,2,3168247,Baby,484,1447.16
2019,3,3168247,Baby,489,1462.11
2019,4,3168247,Baby,509,1521.91
2019,5,3168247,Baby,514,1536.86
2018,12,8488884,Canned Goods,750,8062.5
2019,1,8488884,Canned Goods,788,8471
2019,2,8488884,Canned Goods,820,8815
2019,3,8488884,Canned Goods,845,9083.75
2019,4,8488884,Canned Goods,879,9449.25
2019,5,8488884,Canned Goods,941,10115.75
2018,12,9581390,Canned Goods,122,486.78
2019,1,9581390,Canned Goods,127,506.73
2019,2,9581390,Canned Goods,131,522.69
2019,3,9581390,Canned Goods,130,518.7
2019,4,9581390,Canned Goods,137,546.63
2019,5,9581390,Canned Goods,132,526.68
2018,12,9257605,Canned Goods,373,3636.75
2019,1,9257605,Canned Goods,362,3529.5
2019,2,9257605,Canned Goods,351,3422.25
2019,3,9257605,Canned Goods,351,3422.25
2019,4,9257605,Canned Goods,365,3558.75
2019,5,9257605,Canned Goods,383,3734.25
2018,12,9175296,Canned Goods,918,14642.1
2019,1,9175296,Canned Goods,909,14498.55
2019,2,9175296,Canned Goods,900,14355
2019,3,9175296,Canned Goods,873,13924.35
2019,4,9175296,Canned Goods,847,13509.65
2019,5,9175296,Canned Goods,898,14323.1
2018,12,5992350,Canned Goods,53,794.47
2019,1,5992350,Canned Goods,52,779.48
2019,2,5992350,Canned Goods,54,809.46
2019,3,5992350,Canned Goods,56,839.44
2019,4,5992350,Canned Goods,54,809.46
2019,5,5992350,Canned Goods,55,824.45
2018,12,9165143,Canned Goods,695,688.05
2019,1,9165143,Canned Goods,681,674.19
2019,2,9165143,Canned Goods,708,700.92
2019,3,9165143,Canned Goods,687,680.13
2019,4,9165143,Canned Goods,694,687.06
2019,5,9165143,Canned Goods,722,714.78
2018,12,8353695,Canned Goods,401,8416.99
2019,1,8353695,Canned Goods,413,8668.87
2019,2,8353695,Canned Goods,401,8416.99
2019,3,8353695,Canned Goods,397,8333.03
2019,4,8353695,Canned Goods,389,8165.11
2019,5,8353695,Canned Goods,428,8983.72
2018,12,4852874,Canned Goods,217,2167.83
2019,1,4852874,Canned Goods,217,2167.83
2019,2,4852874,Canned Goods,213,2127.87
2019,3,4852874,Canned Goods,222,2217.78
2019,4,4852874,Canned Goods,226,2257.74
2019,5,4852874,Canned Goods,233,2327.67
2018,12,2337423,Canned Goods,474,7105.26
2019,1,2337423,Canned Goods,483,7240.17
2019,2,2337423,Canned Goods,478,7165.22
2019,3,2337423,Canned Goods,473,7090.27
2019,4,2337423,Canned Goods,473,7090.27
2019,5,2337423,Canned Goods,520,7794.8
2018,12,5121504,Canned Goods,180,2518.2
2019,1,5121504,Canned Goods,185,2588.15
2019,2,5121504,Canned Goods,194,2714.06
2019,3,5121504,Canned Goods,202,2825.98
2019,4,5121504,Canned Goods,204,2853.96
2019,5,5121504,Canned Goods,214,2993.86
2018,12,9118851,Canned Goods,64,892.8
2019,1,9118851,Canned Goods,63,878.85
2019,2,9118851,Canned Goods,62,864.9
2019,3,9118851,Canned Goods,62,864.9
2019,4,9118851,Canned Goods,63,878.85
2019,5,9118851,Canned Goods,66,920.7
2018,12,6201011,Canned Goods,478,3322.1
2019,1,6201011,Canned Goods,502,3488.9
2019,2,6201011,Canned Goods,517,3593.15
2019,3,6201011,Canned Goods,512,3558.4
2019,4,6201011,Canned Goods,527,3662.65
2019,5,6201011,Canned Goods,511,3551.45
2018,12,5514498,Canned Goods,653,326.5
2019,1,5514498,Canned Goods,666,333
2019,2,5514498,Canned Goods,646,323
2019,3,5514498,Canned Goods,627,313.5
2019,4,5514498,Canned Goods,646,323
2019,5,5514498,Canned Goods,672,336
2018,12,2450333,Canned Goods,292,2333.08
2019,1,2450333,Canned Goods,292,2333.08
2019,2,2450333,Canned Goods,283,2261.17
2019,3,2450333,Canned Goods,289,2309.11
2019,4,2450333,Canned Goods,292,2333.08
2019,5,2450333,Canned Goods,310,2476.9
2018,12,8182035,Canned Goods,83,1240.85
2019,1,8182035,Canned Goods,87,1300.65
2019,2,8182035,Canned Goods,85,1270.75
2019,3,8182035,Canned Goods,83,1240.85
2019,4,8182035,Canned Goods,81,1210.95
2019,5,8182035,Canned Goods,80,1196
2018,12,9086823,Canned Goods,219,2406.81
2019,1,9086823,Canned Goods,215,2362.85
2019,2,9086823,Canned Goods,221,2428.79
2019,3,9086823,Canned Goods,225,2472.75
